0,0,0
0,0,0
4.7059,2.8815e-16,2.8815e-16
4.6154,2.8261e-16,2.8261e-16
0,0,0
0,0,0
-9.5059,-5.8207e-16,-5.8207e-16
-72.653,-36.065,191.19
7.5763,-138.99,206.4
2.5816,-9.2464,-78.621
3.9132,-18.797,-9.6
2.4774,-18.372,-28.8
0.80331,-9.5663,-24
1.5476,-33.564,-9.6
0.10052,-4.7989,-14.4
-0.080424,9.5997,5.8783e-16
0,0,0
-0.040212,4.7998,-4.8
0.14767,11.751,-12.414
0.48253,28.796,-14.4
1.6627,24.772,-8.2759
2.7704,28.666,1.7635e-15
2.3667,19.387,-4.1379
6.4897,42.71,-14.4
-1.1564,-6.3507,-12.414
-1.996,-9.3902,-9.6
0.35091,1.6175,-4.1379
-1.0961,-4.6732,-9.6
-2.2704,-9.3277,-4.1379
-6.2316,-24.27,-1.5343e-15
-2.3874,-9.2984,-4.1379
-2.4264,-9.2883,9.6
0,0,0
2.3314,8.6285,5.4729e-16
10.016,37.071,-4.1379
2.7334,12.109,7.6013e-16
1.9566,9.3985,24.828
0.45941,3.1111,19.2
1.0245,14.364,37.241
-0.0076265,1.8207,38.4
-1.3171,11.178,14.4
-1.9316,8.5571,43.2
-1.9837,5.2664,49.655
-7.2849,13.935,62.4
0.73738,-1.0998,62.069
1.3923,-1.6406,33.6
3.739,-3.9817,28.966
0,0,0
