-59.28,56.62,32.27
-7.68,29.98,31.79
30.96,29.5,31.79
41.76,27.34,31.79
38.88,24.22,31.79
34.8,21.58,31.79
30.48,17.98,31.79
25.92,14.38,31.79
21.12,12.22,31.79
17.04,10.06,31.79
12.72,8.62,30.11
7.44,7.9,27.71
5.52,7.66,25.31
3.36,6.7,23.39
2.4,6.7,22.67
1.44,6.94,21.95
1.44,6.94,21.95
0.96,6.94,21.71
0.24,9.1,21.23
-1.44,13.9,19.55
-2.88,18.94,17.39
-4.8,24.94,13.79
-6.96,30.94,9.47
-7.92,38.62,3.71
-9.6,44.86,-2.77
-10.56,53.5,-9.97
-12,60.22,-19.09
-12.72,67.18,-27.49
-12.96,73.66,-35.17
-13.92,78.46,-43.33
-14.16,81.58,-50.29
-14.64,81.58,-52.21
-14.88,81.58,-52.21
-14.88,81.58,-51.97
-14.88,78.94,-44.53
-14.16,73.66,-34.69
-12,67.42,-23.41
-8.88,61.66,-13.09
-5.28,56.86,-3.73
0,51.1,5.63
5.52,46.06,14.51
12.24,42.46,19.55
19.44,37.9,23.63
27.36,35.74,26.99
33.6,33.58,28.67
38.64,32.62,28.91
41.76,31.42,28.91
42.96,30.94,29.15
